,France,Spain,Japan,Italy,Australia,Norway,Canada,Switzerland,Germany,Belguim,Austria,Sweden,Netherlands,UK,ct,Mkt_RF,CrossVar,CrossSkew,CrossKur,Cste,Lag_W_Consgrowth,Lag_Term_Spread,Lag_Cay
Q3 1977,-0.31958526692339656,-0.6687382750448807,-0.387029725261739,-0.3759828933669674,-0.525158343854341,-0.43734733433233625,-0.4582494646277387,-0.3584879519559741,-0.3800123181551441,-0.4390319932153031,-0.4598458061062563,-0.4344154336603821,-0.44154485546058214,-0.2630569644671488,0.4205412393152632,-0.27,14.451460929159275,-1.002104782957511,0.9585247587840886,1,0.0280677144343308,-0.004608,0.0043783170000000005
Q4 1977,-0.5271544975551643,-0.4234613649816932,-0.552858399445787,-0.6264082413695082,-0.3879120709112722,-0.630089859451213,-0.42556876947144384,-0.5007318793132176,-0.459748932244034,-0.5153313278232525,-0.4930646742868594,-0.506029476456656,-0.5141261915590707,-0.5451492085527974,0.636946560395245,0.27,18.093581575944526,-0.12912682519476207,0.19742603666524428,1,0.0264495260452645,-0.004632,0.0015283120000000002
Q1 1978,-0.35707236902370965,-0.5969976459138804,-0.4031860026669658,-0.36661445635232126,-0.5785538208482472,-0.6085561225664236,-0.5275538381405542,-0.5331690386776973,-0.5135206485318251,-0.4746888166929615,-0.5152145279680631,-0.40333114099948886,-0.5063267156909645,-0.5560589672875691,0.2512941948149306,2.85,8.351170120686508,-0.38209749444951363,-0.6638517707726996,1,0.0275516888841263,-0.020857,0.005165188
Q2 1978,-0.46258044890180994,-0.4448038422631413,-0.5314525403756178,-0.5290476655084637,-0.43331615654512046,-0.5464832644985167,-0.4794343594868824,-0.5549110362689094,-0.5298030031622618,-0.5189380105493075,-0.5528529629186325,-0.5056995427876725,-0.49498288610700936,-0.512006597931201,-0.05732724422567394,-1.69,6.234901850305947,-0.5036147403538795,-0.5369883642664104,1,0.0274380310998972,-0.019056,0.00444079
Q3 1978,-0.3982586283294899,-0.6347486827602377,-0.5913029839494407,-0.33154922891708594,-0.457630139835551,-0.3705405683707629,-0.4629225873185491,-0.6581204941743585,-0.5366042493896853,-0.5529487824804383,-0.5867749096593603,-0.5953605019295204,-0.5655832169048044,-0.5345266187345351,0.5625543193525918,-1.43,8.49966446062513,-0.023202663522090074,-0.7360190276789109,1,0.0333475464235276,-0.027941000000000004,0.013631273000000001
Q4 1978,-0.8213264964489155,-0.8601451758213166,-0.7267583168858411,-0.9107419149934513,-0.8096179392331713,-0.907464655128426,-0.732712482164265,-0.7374819097371048,-0.8105918117305941,-0.7901304490093375,-0.787124369063269,-0.8359374660860766,-0.8569310115569901,-0.7968427856742133,0.125317487495348,0.88,9.318421080806333,-0.0459188556085948,0.47899228023734963,1,0.0330938655291034,0.008868000000000001,0.0069150159999999995
Q1 1979,-0.8167437603949064,-0.6614800207629741,-0.8120349174998256,-0.6885627588026311,-0.6941173529114333,-0.5786740378426312,-0.6870707624865378,-0.7054164606456284,-0.8424681233137963,-0.7049656596224225,-0.7780538485337831,-0.7697990339585865,-0.7133898582748608,-0.6038881816550252,1.1379654125072853,5.68,5.330760969475753,0.4539355285912815,1.3749837662436164,1,0.0321476765858179,-0.038232999999999996,0.006995976
Q2 1979,-0.6887598654734757,-0.8656746229591596,-0.7815378132637423,-0.8243782244440871,-0.8277788383842677,-0.38068102913655677,-0.6817922712342415,-0.8326200511456165,-0.881042333910989,-0.785281404947789,-0.8165788003981986,-0.8840362056302857,-0.7700560106888035,-0.8726983263997057,1.3551286685405337,3.85,9.070490365490562,-0.18051232136341652,-1.3090596413471003,1,0.0327424280431128,0.001818,0.0017849460000000001
Q3 1979,-0.6533419724658981,-0.9125103829493434,-0.7829659792456737,-0.6828639873158479,-0.6232552370659138,-0.7022787792517952,-0.7227943369032087,-0.7833490619903801,-0.7746390828280559,-0.7988355948653928,-0.8343538698440821,-0.8301071732389448,-0.7748847913584836,-0.7880217455606661,0.33454549122178057,-0.82,7.36247309638787,0.3299769654077086,-0.8205890495656876,1,0.0322126171691948,0.018294,0.004303872
Q4 1979,-1.023846316555203,-0.9697038032797358,-0.9410823086156828,-1.074104209119869,-0.8529496598048627,-0.7106475069156841,-0.8986520955769997,-0.9802258815018134,-0.9986482657015638,-0.964383396025436,-0.8645653624138496,-0.9235448996278437,-0.9983858355237458,-1.0261484029655763,0.16687304826340993,1.79,5.716962876770873,-0.10895112389225818,-0.9200721530795435,1,0.0251896601008312,-0.040591,0.006291216999999999
